names,labels
Jagati ,girl
Jasmin ,girl
Jalaja ,girl
Jagvi ,girl
Jigna ,girl
Juhi ,girl
Jiya ,girl
Jignasa ,girl
Jaasritha ,girl
Jayna ,girl
Jasweer ,girl
Jayashree ,girl
Joshika ,girl
Jeevitha ,girl
Jigyasa ,girl
Jagrati ,girl
Jalsa ,girl
Jayanti ,girl
Jalbala ,girl
Jayavanti ,girl
Jayalakshmi ,girl
Jyeshtha ,girl
Jayne ,girl
Jamuna ,girl
Jalpa ,girl
Jaganmayee ,girl
Jagadambika ,girl
Jaina ,girl
Janya ,girl
Jinisha ,girl
Jayaprabha ,girl
Jarul ,girl
Jyoti ,girl
Joshitha ,girl
Jaladhija ,girl
Jeevika ,girl
Jaba ,girl
Jinal ,girl
Jwala ,girl
Jaya ,girl
Jayita ,girl
Jayamala ,girl
Jaishnavi ,girl
Janki ,girl
Jeeteshi ,girl
Jayaprada ,girl
Jilpa ,girl
Jesal,girl
Jayashri ,girl
Jagruti ,girl
Jigisha ,girl
Jyotirmayi / Jyothirmaayee ,girl
Jaganmata ,girl
Juana,girl
Janisha ,girl
Jasmit ,girl
Jyotika ,girl
Jayan ,girl
Jui ,girl
Jagadamba ,girl
Jhalak ,girl
Janani ,girl
Kashi ,girl
Kankalini  ,girl
Kanchan ,girl
Kalima ,girl
Kamana ,girl
Kanaka ,girl
Kali ,girl
Kaviya  ,girl
Kashmira ,girl
Kamal ,girl
Kaushali ,girl
Kanika ,girl
Kaushalya ,girl
Karnapriya ,girl
Kalini ,girl
Kamya,girl
Kallol ,girl
Kanti ,girl
Kalika ,girl
Kadambini ,girl
Kasturi ,girl
Kausalya ,girl
Kaushiki ,girl
Kanakabati ,girl
Karalika ,girl
Karthiaeini ,girl
Kanchana ,girl
Kanishka,girl
Kashvi ,girl
Kavika ,girl
Kamini ,girl
Kashika ,girl
Kapila ,girl
Kaamakya ,girl
Kanjri ,girl
Kakali ,girl
Kapotakshi ,girl
Kaishori ,girl
Kamalini ,girl
Kankana ,girl
Kalindi ,girl
Kamakshi ,girl
Kashish ,girl
Karul ,girl
Kaalanjari ,girl
Kanaklata ,girl
Kanyakumari ,girl
Kaustubhi ,girl
Kalapini ,girl
Kamala ,girl
Kajjali  ,girl
Kanupriya  ,girl
Karunya ,girl
Kalyani ,girl
Kavya  ,girl
Kanushni ,girl
Kamalakshi ,girl
Kana ,girl
Kameshvari ,girl
Karunamayee ,girl
Kanira ,girl
Kaksi ,girl
Karabi ,girl
Kaumudi ,girl
Kanakapriya ,girl
Kala ,girl
Kamna ,girl
Kani ,girl
Kalavati ,girl
Karuka ,girl
Kareena ,girl
Kanyaka ,girl
Karla,girl
Kaalaka  ,girl
Kanya ,girl
Kalpita ,girl
Kanta ,girl
Kautirya ,girl
Kananbala ,girl
Kalpana ,girl
Kajol  ,girl
Kanchi ,girl
Kanasu ,girl
Kanushi ,girl
Karka ,girl
Kavishri  ,girl
Kajri ,girl
Kalakarni ,girl
Kadambari ,girl
Kaasni ,girl
Kanan ,girl
Kaajal  ,girl
Karishma ,girl
Kaveri ,girl
Karala ,girl
Kavni ,girl
Karuna ,girl
Kamalika ,girl
Kanchanprabha ,girl
Kannaki ,girl
Kavita ,girl
Kathyayani ,girl
Kashwini ,girl
Kashyapi ,girl
Kakoli ,girl
Kavin ,girl
Kairavi ,girl
Kalapi ,girl
Leela ,girl
Lata ,girl
Laksha ,girl
Lakshanya ,girl
Latakara ,girl
Lipi ,girl
Lillian ,girl
Lola ,girl
Lakshmi ,girl
Laghuvi ,girl
Leena ,girl
Lopamudra ,girl
